UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
G-682,Q1058,1959/03/01,M,U,Q1058,d,1959,DEAD,1962/02/01,,5.16,2.91,,,
H-211,Q1058,1960/03/22,F,G,Q1058,re,1960,Removed,,1966/06/25,6.16,,6.25,,
K-080,Q1058,1961/04/13,F,H,Q1058,re,1961,Removed,,1966/06/25,7.25,,5.16,,
K-814,Q1058,1963/03/14,F,H,Q1058,re**,1963,Removed,,1966/06/25,9.16,,3.25,,
K-715,Q1058,1964/03/26,F,H,Q1058,re,1964,Removed,,1966/06/25,10.16,,2.25,,
I-313,Q1058,1965/07/29,U,H,Q1058,dm,1965,DEAD,1965/08/04,,11.50,0.08,,,
I-336,Q1058,1966/02/16,F,H,Q1058,re,1966,Removed,,1966/06/25,12.08,,0.33,,
J-977,Q1057,1959/04/15,F,U,Q1057,du,1959,DEAD,1968/10/07,,8.25,9.50,,,
H-217,Q1057,1960/05/28,F,A,Q1057,rb,1960,Removed,,1971/11/05,9.33,,11.50,,
K-337,Q1056,1956/01/01,M,U,Q1056,rs,1956,Removed,,1982/01/01,5.00,,26.00,,
J-972,Q1056,1957/01/01,M,U,Q1056,r,1957,Removed,,1963/11/14,6.00,,6.83,,
